v,X,Y,r,cos_theta,sin_theta,dBA
10.0,-43.19875589736691,-104.29102236506772,112.88378916846895,-0.3826834323650904,-0.9238795325112865,39.197558636
10.0,-48.76439253058516,-117.72765780822373,127.42749857031335,-0.3826834323650904,-0.9238795325112865,38.66743918
10.0,-55.04709405351037,-132.89544103321185,143.8449888287663,-0.3826834323650904,-0.9238795325112866,38.041157652
10.0,-62.13924559473338,-150.01740947043766,162.37767391887206,-0.3826834323650904,-0.9238795325112866,37.335263824
10.0,-70.14513498803596,-169.34533622260764,183.29807108324357,-0.38268343236509034,-0.9238795325112865,36.565912168
10.0,-79.18248629183246,-191.16343230816327,206.913808111479,-0.3826834323650904,-0.9238795325112865,35.745382264
10.0,-89.3841908840239,-215.79252589395568,233.57214690901216,-0.38268343236509034,-0.9238795325112865,34.883468240000006
10.0,-100.90026158746336,-243.59477997144663,263.6650898730358,-0.38268343236509034,-0.9238795325112864,33.98860588
10.0,-113.90003856082582,-274.9790178483637,297.63514416313194,-0.38268343236509034,-0.9238795325112865,33.06605381200001
10.0,-128.5746793918073,-310.4067347654731,335.9818286283781,-0.3826834323650904,-0.9238795325112865,32.121319187999994
10.0,-145.13997000868264,-350.3988840373853,379.26901907322497,-0.38268343236509034,-0.9238795325112865,31.158785420000005
10.0,-163.83949774378038,-395.5435375054301,428.1332398719397,-0.3826834323650902,-0.9238795325112864,30.181147704000004
10.0,-184.9482332077673,-446.5045329471331,483.2930238571752,-0.3826834323650903,-0.9238795325112865,29.1909952
10.0,-208.7765736450643,-504.0312355996987,545.559478116852,-0.38268343236509034,-0.9238795325112865,28.190494036
10.0,-235.6749072266477,-568.9695573375928,615.8482110660267,-0.38268343236509034,-0.9238795325112865,27.181414703999994
10.0,-266.0387653967136,-642.2743955377388,695.1927961775606,-0.3826834323650904,-0.9238795325112865,26.165688464
10.0,-300.3146390368235,-725.0236745418786,784.7599703514607,-0.38268343236509034,-0.9238795325112865,25.14387276
10.0,-339.0065439723764,-818.4341961913407,885.8667904100822,-0.3826834323650904,-0.9238795325112866,24.117426400000003
10.0,-382.6834323650903,-923.8795325112864,999.9999999999998,-0.3826834323650904,-0.9238795325112865,23.086737784
10.0,6.123233995736766e-15,100.0,100.0,6.123233995736766e-17,1.0,31.768575412
10.0,6.912138554039508e-15,112.88378916846897,112.88378916846897,6.123233995736765e-17,1.0,30.500562328
10.0,7.802683912374408e-15,127.42749857031336,127.42749857031336,6.123233995736765e-17,1.0,29.23579342
10.0,8.807965257126772e-15,143.8449888287663,143.8449888287663,6.123233995736766e-17,1.0,27.988369568
10.0,9.942764930886967e-15,162.3776739188721,162.3776739188721,6.123233995736766e-17,1.0,26.75514742
10.0,1.1223769802098913e-14,183.2980710832436,183.2980710832436,6.123233995736765e-17,1.0,25.553204376
10.0,1.2669816640155621e-14,206.913808111479,206.913808111479,6.123233995736766e-17,1.0,24.380961956000004
10.0,1.4302169104104854e-14,233.57214690901213,233.57214690901213,6.123233995736766e-17,1.0,23.241092056
10.0,1.6144830417995627e-14,263.6650898730358,263.6650898730358,6.123233995736766e-17,1.0,22.146229684
10.0,1.8224896330657027e-14,297.63514416313194,297.63514416313194,6.123233995736766e-17,1.0,21.081723864
10.0,2.0572953550070888e-14,335.9818286283781,335.9818286283781,6.123233995736766e-17,1.0,20.049822076
10.0,2.3223529511189074e-14,379.26901907322497,379.26901907322497,6.123233995736767e-17,1.0,19.037662552
10.0,2.621560009088784e-14,428.1332398719396,428.1332398719396,6.123233995736766e-17,1.0,18.0351775
10.0,2.9593162735846753e-14,483.2930238571752,483.2930238571752,6.123233995736766e-17,1.0,17.04075944
10.0,3.3405883431015173e-14,545.559478116852,545.559478116852,6.123233995736767e-17,1.0,16.050715932
10.0,3.770982702213166e-14,615.8482110660267,615.8482110660267,6.123233995736766e-17,1.0,15.057790924
10.0,4.25682816314574e-14,695.1927961775606,695.1927961775606,6.123233995736767e-17,1.0,14.06099762
10.0,4.80526892894944e-14,784.7599703514607,784.7599703514607,6.123233995736765e-17,1.0,13.060079892
10.0,5.4243696467332334e-14,885.8667904100823,885.8667904100823,6.123233995736767e-17,1.0,12.05802124
10.0,6.123233995736766e-14,1000.0,1000.0,6.123233995736766e-17,1.0,11.051052836
10.0,-1.8369701987210294e-14,-100.0,100.0,-1.8369701987210294e-16,-1.0,31.517220388000005
10.0,-2.0736415662118524e-14,-112.88378916846897,112.88378916846897,-1.8369701987210297e-16,-1.0,30.242926651999998
10.0,-2.3408051737123225e-14,-127.42749857031336,127.42749857031336,-1.8369701987210297e-16,-1.0,28.964756072000007
10.0,-2.6423895771380314e-14,-143.8449888287663,143.8449888287663,-1.8369701987210297e-16,-1.0,27.69288188
10.0,-2.98282947926609e-14,-162.3776739188721,162.3776739188721,-1.8369701987210297e-16,-1.0,26.420090552
10.0,-3.3671309406296745e-14,-183.2980710832436,183.2980710832436,-1.83697019872103e-16,-1.0,25.163609672000003
10.0,-3.8009449920466865e-14,-206.913808111479,206.913808111479,-1.83697019872103e-16,-1.0,23.931717836
10.0,-4.2906507312314565e-14,-233.57214690901213,233.57214690901213,-1.8369701987210302e-16,-1.0,22.732397664
10.0,-4.8434491253986883e-14,-263.6650898730358,263.6650898730358,-1.83697019872103e-16,-1.0,21.58893046
10.0,-5.4674688991971085e-14,-297.63514416313194,297.63514416313194,-1.83697019872103e-16,-1.0,20.488983432
