v,X,Y,r,cos_theta,sin_theta,dBA
10.0,-6.171886065021266e-14,-335.9818286283781,335.9818286283781,-1.8369701987210297e-16,-1.0,19.4319418
10.0,-6.96705885335672e-14,-379.26901907322497,379.26901907322497,-1.8369701987210297e-16,-1.0,18.407435596
10.0,-7.86468002726635e-14,-428.1332398719396,428.1332398719396,-1.8369701987210294e-16,-1.0,17.399969212
10.0,-8.877948820754026e-14,-483.2930238571752,483.2930238571752,-1.83697019872103e-16,-1.0,16.402637384000002
10.0,-1.0021765029304549e-13,-545.559478116852,545.559478116852,-1.8369701987210297e-16,-1.0,15.416348108
10.0,-1.1312948106639497e-13,-615.8482110660267,615.8482110660267,-1.8369701987210297e-16,-1.0,14.428532792
10.0,-1.277048448943722e-13,-695.1927961775606,695.1927961775606,-1.8369701987210302e-16,-1.0,13.437488568
10.0,-1.4415806786848321e-13,-784.7599703514607,784.7599703514607,-1.8369701987210297e-16,-1.0,12.442113008
10.0,-1.6273108940199698e-13,-885.8667904100823,885.8667904100823,-1.83697019872103e-16,-1.0,11.4448062024
10.0,-1.8369701987210297e-13,-1000.0,1000.0,-1.8369701987210297e-16,-1.0,10.4432767512
10.0,-38.268343236508976,92.38795325112868,100.0,-0.3826834323650898,0.9238795325112867,39.235527104
10.0,-43.19875589736684,104.29102236506776,112.88378916846897,-0.38268343236508967,0.9238795325112867,38.831973896
10.0,-48.76439253058508,117.72765780822375,127.42749857031335,-0.3826834323650897,0.9238795325112867,38.310707284
10.0,-55.04709405351028,132.89544103321188,143.8449888287663,-0.3826834323650897,0.9238795325112867,37.695662624
10.0,-62.13924559473328,150.0174094704377,162.3776739188721,-0.3826834323650897,0.9238795325112867,37.003072268
10.0,-70.14513498803585,169.34533622260767,183.29807108324354,-0.3826834323650898,0.9238795325112868,36.248718268000005
10.0,-79.18248629183233,191.1634323081633,206.91380811147897,-0.3826834323650898,0.9238795325112868,35.444316124
10.0,-89.38419088402375,215.7925258939557,233.5721469090121,-0.3826834323650898,0.9238795325112868,34.59912024
10.0,-100.9002615874632,243.59477997144677,263.66508987303587,-0.38268343236508967,0.9238795325112867,33.721015216000005
10.0,-113.90003856082564,274.9790178483637,297.6351441631319,-0.38268343236508984,0.9238795325112866,32.814782952
10.0,-128.57467939180708,310.4067347654732,335.981828628378,-0.3826834323650898,0.9238795325112868,31.885574555999995
10.0,-145.1399700086824,350.39888403738536,379.26901907322497,-0.3826834323650897,0.9238795325112867,30.937543532
10.0,-163.83949774378013,395.5435375054301,428.13323987193957,-0.3826834323650897,0.9238795325112867,29.973238452
10.0,-184.948233207767,446.5045329471332,483.2930238571752,-0.3826834323650897,0.9238795325112867,28.995199712
10.0,-208.776573645064,504.0312355996988,545.559478116852,-0.3826834323650897,0.9238795325112867,28.005603088
10.0,-235.6749072266473,568.969557337593,615.8482110660266,-0.3826834323650897,0.9238795325112868,27.006266332
10.0,-266.0387653967132,642.2743955377389,695.1927961775606,-0.38268343236508984,0.9238795325112867,25.99920804
10.0,-300.314639036823,725.0236745418787,784.7599703514605,-0.3826834323650898,0.9238795325112868,24.985067876
10.0,-339.0065439723759,818.4341961913409,885.8667904100823,-0.3826834323650897,0.9238795325112867,23.965406668
10.0,-382.68343236508974,923.8795325112868,1000.0000000000001,-0.3826834323650897,0.9238795325112867,22.940700848
10.0,38.268343236509,-92.38795325112866,100.0,0.38268343236508995,-0.9238795325112866,41.608627088
10.0,43.19875589736687,-104.29102236506772,112.88378916846894,0.3826834323650901,-0.9238795325112866,40.902484092
10.0,48.76439253058511,-117.72765780822374,127.42749857031335,0.38268343236509,-0.9238795325112866,40.129818236000006
