generation,current_best_fitness,global_best_fitness,population_mean_fitness,population_median_fitness,population_std_fitness,current_best_expected_power_kw,global_best_expected_power_kw,population_mean_expected_power_kw,current_best_worst_noise_dba,global_best_worst_noise_dba,population_mean_worst_noise_dba,current_best_spacing_penalty,current_best_noise_penalty,current_best_border_penalty,population_mean_spacing_penalty,population_mean_noise_penalty,population_mean_border_penalty,zero_total_penalty_fraction
14,19347.44580144094,19347.44580144094,2403.800650659236,16622.360317212682,27877.78209634726,19807.761417217836,19807.761417217836,18858.347843990952,36.146734291744465,36.146734291744465,38.64184255677091,0.0,460.3156157768987,0.0,14976.718199038623,1477.828994293088,0.0,0.0
15,19347.44580144094,19347.44580144094,-212.2872012813502,16825.88082010154,36845.949060634666,19807.761417217836,19807.761417217836,19114.573482514385,36.146734291744465,36.146734291744465,38.65744653972856,0.0,460.3156157768987,0.0,17859.66102958638,1467.1996542093557,0.0,0.0
16,19347.44580144094,19347.44580144094,781.5508608244154,17319.516243319376,29028.655016199515,19807.761417217836,19807.761417217836,18921.434121493174,36.146734291744465,36.146734291744465,38.42251412170255,0.0,460.3156157768987,0.0,16806.734109484285,1333.1491511844738,0.0,0.0
17,19347.44580144094,19347.44580144094,2667.628751448259,17076.028110978084,26813.057300590433,19807.761417217836,19807.761417217836,19072.864584481522,36.146734291744465,36.146734291744465,38.30508106332451,0.0,460.3156157768987,0.0,15131.214262679288,1274.0215703539811,0.0,0.0
18,19347.44580144094,19347.44580144094,-1035.4270308222203,16565.04411654488,33990.99839154409,19807.761417217836,19807.761417217836,18741.790625224075,36.146734291744465,36.146734291744465,38.5024768433688,0.0,460.3156157768987,0.0,18428.00966097759,1349.2079950686998,0.0,0.0
19,19347.44580144094,19347.44580144094,2373.709242448049,17094.275143256265,28932.37069799127,19807.761417217836,19807.761417217836,19066.925327217017,36.146734291744465,36.146734291744465,38.411405126301695,0.0,460.3156157768987,0.0,15343.509086620268,1349.7069981486964,0.0,0.0
20,19347.445821548616,19347.445821548616,4740.079999047006,17559.98529166894,33773.358269916505,19807.761437325513,19807.761437325513,19200.69313151071,36.146734291744465,36.146734291744465,37.982544209901775,0.0,460.3156157768987,0.0,13285.268139543577,1175.3449929201265,0.0,0.0
21,19347.445821548616,19347.445821548616,5297.121006726045,17160.78273368982,23586.501249655008,19807.761437325513,19807.761437325513,18996.18919231762,36.146734291744465,36.146734291744465,38.02384742095071,0.0,460.3156157768987,0.0,12534.62503838885,1164.4431472027284,0.0,0.0
22,19347.445821548616,19347.445821548616,1651.7988138803967,17800.061701933184,32308.902068552085,19807.761437325513,19807.761437325513,19228.265796762036,36.146734291744465,36.146734291744465,38.149680865073265,0.0,460.3156157768987,0.0,16378.910047212883,1197.556935668757,0.0,0.0
23,19347.445821548616,19347.445821548616,7434.321422132048,17981.372685882354,21157.41624527784,19807.761437325513,19807.761437325513,19229.687036129493,36.146734291744465,36.146734291744465,38.05157367057793,0.0,460.3156157768987,0.0,10623.476346472262,1171.8892675251875,0.0,0.0
24,19347.44599493776,19347.44599493776,3127.604559773592,17808.709223357997,33403.98582335095,19807.761610714657,19807.761610714657,19210.10407955767,36.146734291744465,36.146734291744465,37.84919673822475,0.0,460.3156157768987,0.0,14963.66260529881,1118.8369144852688,0.0,0.0
25,19347.44599493776,19347.44599493776,11999.438104740908,18051.62144380766,15832.65055975377,19807.761610714657,19807.761610714657,19415.390218108787,36.146734291744465,36.146734291744465,37.9931128396152,0.0,460.3156157768987,0.0,6235.592199577992,1180.3599137898846,0.0,0.0
26,19347.44599493776,19347.44599493776,1431.8786717739658,17932.70004494432,35810.30935404851,19807.761610714657,19807.761610714657,19040.297605584325,36.146734291744465,36.146734291744465,38.066334236706744,0.0,460.3156157768987,0.0,16406.364235373247,1202.0546984371133,0.0,0.0
27,19347.446020946416,19347.446020946416,8969.582968037617,18044.39563524094,21125.371635448344,19807.761636723313,19807.761636723313,19147.565254550722,36.146734291744465,36.146734291744465,37.75540956199799,0.0,460.3156157768987,0.0,9094.327416878263,1083.6548696348402,0.0,0.0
28,19347.446020946416,19347.446020946416,9237.180305477299,18183.20392693715,20488.038051579402,19807.761636723313,19807.761636723313,19259.891013711647,36.146734291744465,36.146734291744465,37.8826833316433,0.0,460.3156157768987,0.0,8883.852720021385,1138.8579882129623,0.0,0.0
29,19347.79840913247,19347.79840913247,6568.102553130568,16991.969397882734,22662.880742879268,19807.760213333415,19807.760213333415,19410.778548805687,36.146734291744465,36.146734291744465,37.98299524893892,0.0,459.96180420094595,0.0,11630.510404920853,1212.165590754268,0.0,0.0
30,19348.791629435822,19348.791629435822,5816.217786488614,17163.331300923943,24382.891608576967,19807.760102059,19807.760102059,19018.104455255136,36.146734291744465,36.146734291744465,38.17153831467913,0.0,458.9684726231779,0.0,11895.774239080883,1306.1124296856437,0.0,0.0
31,19350.385885287822,19350.385885287822,7185.321332244946,18350.450965468855,28078.541103511943,19807.760342730602,19807.760342730602,19240.19374367822,36.146734291744465,36.146734291744465,37.94639537526074,0.0,457.3744574427812,0.0,10857.709949977194,1197.1624614560853,0.0,0.0
32,19350.679965058916,19350.679965058916,8680.728260275126,18818.142828186363,24567.52504838422,19807.589394512914,19807.589394512914,19256.759419823546,36.146734291744465,36.146734291744465,37.64396338765141,0.0,456.9094294539977,0.0,9520.29042023495,1055.740739313471,0.0,0.0
33,19351.202802523017,19351.202802523017,5067.968220738617,19145.119443938456,49178.82107478605,19807.758420401064,19807.758420401064,19140.303935187538,36.146734291744465,36.146734291744465,37.501011196301135,0.0,456.5556178780449,0.0,13071.924839210835,1000.4108752380868,0.0,0.0
34,19351.202802523017,19351.202802523017,10313.007425299818,18272.565048002165,21269.694815876457,19807.758420401064,19807.758420401064,19453.842248293466,36.146734291744465,36.146734291744465,37.91198168524499,0.0,456.5556178780449,0.0,7939.251450754616,1201.5833722390294,0.0,0.0
